Manufacturer,Name,Speed,Glide,Turn,Fade,Purchase Url
Discraft,Crank SS,12.6,4.7,-2.8,1.8,https://infinitediscs.com/Discraft-Crank-SS?tag=3c8c6529
Discraft,Crush,11.1,5,-0.1,3.8,https://infinitediscs.com/Discraft-Crush?tag=3c8c6529
Discraft,Flash,10,5,-1.9,2.9,https://infinitediscs.com/Discraft-Flash?tag=3c8c6529
Discraft,Flick,10.1,3.5,0.9,4.4,https://infinitediscs.com/Discraft-Flick?tag=3c8c6529
Discraft,Force,12,4.9,0,3.2,https://infinitediscs.com/Discraft-Force?tag=3c8c6529
Discraft,Hades,12,6,-3,1.9,https://infinitediscs.com/Discraft-Hades?tag=3c8c6529
Discraft,Machete,10.6,3.7,0.2,3.9,https://infinitediscs.com/Discraft-Machete?tag=3c8c6529
Discraft,Nuke,13,4.9,-1,3,https://infinitediscs.com/Discraft-Nuke?tag=3c8c6529
Discraft,Nuke OS,13,4,0,4.1,https://infinitediscs.com/Discraft-Nuke-OS?tag=3c8c6529
Discraft,Nuke SS,13,5,-3,2.9,https://infinitediscs.com/Discraft-Nuke-SS?tag=3c8c6529
Discraft,Pulse,10.9,3.9,0,3,https://infinitediscs.com/Discraft-Pulse?tag=3c8c6529
Discraft,Punisher,11.9,4.9,-0.3,2.9,https://infinitediscs.com/Discraft-Punisher?tag=3c8c6529
Discraft,Spectra,11.8,4.9,-2,2,https://infinitediscs.com/Discraft-Spectra?tag=3c8c6529
Discraft,Surge,11,5,-1,2.9,https://infinitediscs.com/Discraft-Surge?tag=3c8c6529
Discraft,Surge SS,11,4.9,-1.1,2,https://infinitediscs.com/Discraft-Surge-SS?tag=3c8c6529
Discraft,Thrasher,11.9,5.1,-2.8,1.9,https://infinitediscs.com/Discraft-Thrasher?tag=3c8c6529
Discraft,Wildcat,11,5,-2,3,https://infinitediscs.com/Discraft-Wildcat?tag=3c8c6529
Discraft,Zeus,12,5,-1,3,https://infinitediscs.com/Discraft-Zeus?tag=3c8c6529
Discraft,Anax,10,5.8,-0.1,2.9,https://infinitediscs.com/Discraft-Anax?tag=3c8c6529
Discraft,Cyclone,7,4.2,-1,2.8,https://infinitediscs.com/Discraft-Cyclone?tag=3c8c6529
Discraft,Eclipse,6.8,5,-2,1.9,https://infinitediscs.com/Discraft-Eclipse?tag=3c8c6529
Discraft,Heat,9,5.7,-2.9,1,https://infinitediscs.com/Discraft-Heat?tag=3c8c6529
Discraft,Mantis,8,4.5,-1.5,1.9,https://infinitediscs.com/Discraft-Mantis?tag=3c8c6529
Discraft,Predator,9,4,-0.1,4,https://infinitediscs.com/Discraft-Predator?tag=3c8c6529
Discraft,Raptor,9,4,-0.1,3,https://infinitediscs.com/Discraft-Raptor?tag=3c8c6529
Discraft,Reaper,8,3.2,-0.1,3.7,https://infinitediscs.com/Discraft-Reaper?tag=3c8c6529
Discraft,Stalker,7.2,4.9,-1,1.6,https://infinitediscs.com/Discraft-Stalker?tag=3c8c6529
Discraft,Sting,6.8,4.9,-2.2,0.9,https://infinitediscs.com/Discraft-Sting?tag=3c8c6529
Discraft,Talon,8,3,1,3,https://infinitediscs.com/Discraft-Talon?tag=3c8c6529
Discraft,Tracker,7.9,4.4,-0.5,3.3,https://infinitediscs.com/Discraft-Tracker?tag=3c8c6529
Discraft,Undertaker,8.9,4.9,-1,2.2,https://infinitediscs.com/Discraft-Undertaker?tag=3c8c6529
